ID,WARD,SPECIES,DIAMETER,LON,LAT
11270,1,"Basswood, Redmond",4,-79.5657679747321,43.6937612387542
11527,1,"Oak, red",4,-79.5832899293649,43.7297865811436
11762,1,"Basswood, American",4,-79.57075422077,43.7237398759898
11818,1,"Maple, Norway Superform",4,-79.5930651117204,43.687337121702
11849,1,"Katsura, Japanese",4,-79.5856522952105,43.7382452251208
11917,1,"Basswood, American",4,-79.56607244415,43.6943955192328
11943,1,Ginkgo,4,-79.6351797581671,43.751046978851
11977,1,"Oak, bur",4,-79.5574342311788,43.7366909137713
12158,1,"Horsechestnut, Ruby red",4,-79.5647317487409,43.715869807742
12324,1,Pear Chanticleer,4,-79.5519920660783,43.7428132861608
12382,1,Honey locust Skyline,4,-79.5575327466034,43.7375157453951
12459,1,"Apple, Sargents",4,-79.6372734096379,43.7483116372438
12721,1,"Maple, Norway columnar",4,-79.6004257663005,43.6954570818506
12765,1,"Oak, red",4,-79.6150946827149,43.7235949316249
12864,1,"Maple, Norway Crimson King",4,-79.6053671793931,43.7425869702027
12891,1,"Maple, silver",4,-79.5917761429238,43.7514470315325
13189,1,"Basswood, American",4,-79.5699817309627,43.6878175205238
13209,1,"Elm, Princeton",4,-79.6055054507496,43.7554520574661
13690,1,"Buckeye, Ohio",4,-79.5741561910235,43.7343800165496
13762,1,Tulip tree,4,-79.5873370127455,43.7252085907636
13924,1,Honey locust Skyline,4,-79.5663170572308,43.716319996973
14345,1,"Maple, Freeman Marmo",4,-79.5655544034033,43.693591741077
14428,1,"Oak, red",4,-79.5439919005273,43.7138007765385
14529,1,"Catalpa, northern",4,-79.5909444729801,43.7575951352214
14602,1,"Cedar, white",4,-79.5672044413118,43.6981811792827
14705,1,Ginkgo,4,-79.5511041183843,43.7209931423938
14737,1,Hackberry,4,-79.5934351395636,43.7541502236098
14956,1,"Oak, red",4,-79.5891118576906,43.7250882424265
14973,1,"Oak, red",4,-79.5818420503446,43.7270065596592
15115,1,Hackberry,4,-79.5497215534767,43.7268989828463
15542,1,"Elm, American Valley Forge",4,-79.5915890730821,43.7465192739375
15636,1,"Maple, black",4,-79.5528246176515,43.7368239608708
15671,1,"Planetree, London",4,-79.5887620862045,43.6995089236396
16135,1,Honey locust Skyline,4,-79.5776696020407,43.7292234875496
16275,1,"Basswood, Redmond",4,-79.5803523791135,43.7259263245449
16402,1,"Horsechestnut, Baumanii",4,-79.5635919068225,43.696452028609
16556,1,"Maple, black",4,-79.5925062846131,43.7285860468718
16958,1,"Oak, bur",4,-79.6034339141672,43.7327562144809
16981,1,Honey locust Skyline,4,-79.5635172559773,43.7133236006878
17065,1,"Maple, Freeman Autumn Blaze",4,-79.5937444463501,43.7568551983603
17148,1,"Maple, sugar",4,-79.5647868855066,43.7341806901722
17401,1,"Horsechestnut, Baumanii",4,-79.6012633645392,43.7329583274092
17709,1,Serviceberry,4,-79.5630921788463,43.7196619898869
17986,1,Hackberry,4,-79.5573971838025,43.7011947533538
18154,1,"Oak, red",4,-79.5638152841938,43.6965051197365
18231,1,"Planetree, London Bloodgood",4,-79.5781900574381,43.7366841355577
18325,1,"Maple, Freeman",4,-79.552123382907,43.7140098955493
18389,1,"Maple, red",4,-79.603925607709,43.7527842540071
18401,1,"Maple, black",4,-79.5830865091452,43.737878437958
19159,1,"Oak, red",4,-79.5582254039545,43.73831221889
19238,1,Kentucky coffeetree,4,-79.5584292804876,43.6998602494808
19250,1,Honey locust Skyline,4,-79.5836377742348,43.7261364240615
